review_id,customer_id,product_id,order_id,rating,review_text
126,1157,405,39,3,Great quality for the price.
127,1157,273,39,4,Exceeded my expectations.
128,349,299,40,5,Would not buy again.
129,349,179,40,5,Great quality for the price.
130,349,375,40,2,Exactly what I was looking for!
131,349,42,40,1,Great quality for the price.
132,1558,175,41,1,"It was okay, nothing special."
133,1558,484,41,5,Exactly what I was looking for!
134,1558,427,41,2,Exceeded my expectations.
135,1558,300,41,1,Great quality for the price.
136,1558,11,41,2,Great quality for the price.
137,1613,179,42,5,Would not buy again.
138,1613,52,42,2,Absolutely loved it!
139,1613,36,42,2,Exactly what I was looking for!
140,1228,500,43,4,Exactly what I was looking for!
141,1228,421,43,3,Exceeded my expectations.
142,1228,202,43,3,Exactly what I was looking for!
143,1332,36,44,3,Great quality for the price.
144,1332,275,44,2,Exceeded my expectations.
145,1332,70,44,4,"It was okay, nothing special."
146,531,211,45,3,Great quality for the price.
147,531,355,45,5,Would not buy again.
148,531,139,45,1,Exactly what I was looking for!
149,531,70,45,3,Would not buy again.
150,531,62,45,3,Would not buy again.
151,421,231,46,4,Exactly what I was looking for!
152,421,488,46,1,"It was okay, nothing special."
153,421,404,46,3,Great quality for the price.
154,421,371,46,2,Would not buy again.
155,441,51,47,1,Exceeded my expectations.
156,441,382,47,5,Exactly what I was looking for!
157,441,407,47,3,Great quality for the price.
158,1274,77,48,4,Exceeded my expectations.
159,1644,310,49,4,"It was okay, nothing special."
160,1644,111,49,3,Great quality for the price.
161,1644,195,49,4,Great quality for the price.
162,1644,422,49,2,Exactly what I was looking for!
163,932,48,50,5,Absolutely loved it!
164,932,376,50,3,"It was okay, nothing special."
165,862,369,51,1,Exactly what I was looking for!
166,862,58,51,3,Exceeded my expectations.
167,862,431,51,2,"It was okay, nothing special."
168,1139,160,52,2,Great quality for the price.
169,1139,57,52,1,Exceeded my expectations.
170,1139,378,52,4,Exactly what I was looking for!
171,1935,87,53,5,Would not buy again.
172,1560,233,54,3,"It was okay, nothing special."
173,1560,47,54,2,Absolutely loved it!
174,1560,322,54,3,Exactly what I was looking for!
175,1560,273,54,1,Exactly what I was looking for!
176,529,456,55,5,"It was okay, nothing special."
177,676,105,56,5,Exceeded my expectations.
178,676,129,56,4,Would not buy again.
179,676,30,56,3,Would not buy again.
180,1337,257,57,3,Would not buy again.
181,1337,498,57,2,Would not buy again.
182,1337,49,57,4,Absolutely loved it!
183,588,13,58,5,"It was okay, nothing special."
184,588,382,58,2,Great quality for the price.
185,588,16,58,2,"It was okay, nothing special."
186,588,418,58,2,Exactly what I was looking for!
187,52,252,59,5,Absolutely loved it!
188,52,163,59,2,"It was okay, nothing special."
189,52,215,59,4,Great quality for the price.
190,906,8,60,5,Exceeded my expectations.
191,906,161,60,2,Great quality for the price.
192,906,486,60,5,Would not buy again.
193,353,253,61,5,Absolutely loved it!
194,353,158,61,5,"It was okay, nothing special."
195,353,271,61,5,Exceeded my expectations.
196,353,434,61,1,Great quality for the price.
197,353,143,61,4,"It was okay, nothing special."
198,1938,54,62,2,Exceeded my expectations.
199,1938,17,62,4,Absolutely loved it!
200,1535,51,63,5,Exceeded my expectations.
201,1535,40,63,3,Exceeded my expectations.
202,1535,86,63,1,Great quality for the price.
203,217,451,64,3,Exceeded my expectations.
204,217,450,64,5,Great quality for the price.
205,217,282,64,4,Great quality for the price.
206,217,100,64,2,"It was okay, nothing special."
207,217,197,64,5,Exceeded my expectations.
208,1414,377,65,4,Exactly what I was looking for!
209,1956,276,66,5,Great quality for the price.
210,1956,468,66,2,Exceeded my expectations.
211,1956,467,66,1,"It was okay, nothing special."
212,1956,119,66,2,Exceeded my expectations.
213,1956,142,66,2,Great quality for the price.
214,1131,414,67,4,Great quality for the price.
215,1131,80,67,3,Exactly what I was looking for!
216,1131,197,67,1,Exactly what I was looking for!
217,734,387,68,3,Exceeded my expectations.
218,734,158,68,5,"It was okay, nothing special."
219,734,236,68,1,Great quality for the price.
220,1058,245,69,2,Would not buy again.
221,1058,355,69,2,Exceeded my expectations.
222,1422,400,70,5,Great quality for the price.
223,1422,75,70,4,Would not buy again.
224,1422,132,70,5,Absolutely loved it!
225,695,133,71,5,Exceeded my expectations.
226,695,31,71,2,Would not buy again.
227,695,334,71,5,Exceeded my expectations.
228,695,453,71,2,Exactly what I was looking for!
229,695,54,71,4,"It was okay, nothing special."
230,1824,238,72,1,Absolutely loved it!
231,1824,482,72,3,Exactly what I was looking for!
232,1824,193,72,5,Exceeded my expectations.
233,1824,3,72,4,"It was okay, nothing special."
234,1237,459,73,4,Absolutely loved it!
235,1237,426,73,4,Absolutely loved it!
236,1205,223,74,1,Exceeded my expectations.
237,1205,23,74,4,Exactly what I was looking for!
238,1205,40,74,2,Absolutely loved it!
239,1205,300,74,3,Great quality for the price.
240,1205,35,74,5,Great quality for the price.
241,1631,320,75,4,"It was okay, nothing special."
242,1631,219,75,5,Would not buy again.
243,186,488,76,5,Absolutely loved it!
244,186,143,76,2,"It was okay, nothing special."
245,1632,66,77,3,Great quality for the price.
246,1632,197,77,1,Would not buy again.
247,1632,118,77,3,"It was okay, nothing special."
248,1632,71,77,4,Would not buy again.
249,430,249,78,3,Exceeded my expectations.
250,430,79,78,4,Great quality for the price.
251,430,406,78,3,Absolutely loved it!
252,430,196,78,5,Great quality for the price.
253,957,377,79,3,Absolutely loved it!
254,957,208,79,1,Exceeded my expectations.
255,957,157,79,5,Great quality for the price.
256,18,211,80,1,Exactly what I was looking for!
257,18,141,80,2,Absolutely loved it!
258,18,202,80,3,Absolutely loved it!
259,18,176,80,3,Exceeded my expectations.
260,18,10,80,4,Exceeded my expectations.
261,611,237,81,5,Great quality for the price.
262,611,29,81,2,Exceeded my expectations.
263,356,403,82,2,Exceeded my expectations.
264,356,103,82,3,Would not buy again.
265,861,451,83,5,Exactly what I was looking for!
266,861,45,83,5,Exactly what I was looking for!
267,861,287,83,4,Great quality for the price.
268,797,194,84,1,Absolutely loved it!
269,797,362,84,4,"It was okay, nothing special."
270,549,298,85,4,Great quality for the price.
271,934,432,86,3,Great quality for the price.
272,934,207,86,1,Great quality for the price.
273,934,481,86,3,Great quality for the price.
274,934,172,86,4,Exceeded my expectations.
275,75,341,87,2,Would not buy again.
276,75,377,87,4,Great quality for the price.
277,75,232,87,3,Would not buy again.
278,75,294,87,4,Great quality for the price.
279,1729,31,88,3,Exactly what I was looking for!
280,1729,371,88,1,"It was okay, nothing special."
281,1729,477,88,4,Exactly what I was looking for!
282,1729,291,88,3,Exactly what I was looking for!
283,1889,106,89,3,Great quality for the price.
284,735,225,90,3,Exceeded my expectations.
285,735,381,90,3,Great quality for the price.
286,735,239,90,5,Exceeded my expectations.
287,735,59,90,2,Would not buy again.
288,735,130,90,1,"It was okay, nothing special."
289,320,233,91,4,Absolutely loved it!
290,62,324,92,1,Exceeded my expectations.
291,62,453,92,3,"It was okay, nothing special."
292,62,431,92,5,Exceeded my expectations.
293,62,462,92,5,Would not buy again.
294,167,209,93,4,Absolutely loved it!
295,167,292,93,5,Would not buy again.
296,273,359,94,2,Exceeded my expectations.
297,1791,119,95,3,"It was okay, nothing special."
298,1791,67,95,5,Great quality for the price.
299,1075,299,96,3,Exactly what I was looking for!
300,1075,469,96,3,Exactly what I was looking for!
301,1075,231,96,3,Exactly what I was looking for!
302,1075,486,96,3,"It was okay, nothing special."
303,1075,307,96,1,Great quality for the price.
304,1264,37,97,3,"It was okay, nothing special."
305,1264,432,97,3,Absolutely loved it!
306,1264,82,97,4,Would not buy again.
307,1264,173,97,5,Would not buy again.
308,1264,318,97,5,Exceeded my expectations.
309,1350,246,98,5,Absolutely loved it!
310,1350,158,98,5,Absolutely loved it!
311,1350,436,98,5,Exceeded my expectations.
312,177,370,99,4,Exceeded my expectations.
313,177,415,99,2,Great quality for the price.
314,177,253,99,5,Absolutely loved it!
315,177,454,99,2,Exceeded my expectations.
316,177,18,99,3,Exceeded my expectations.
317,524,165,100,4,Absolutely loved it!
318,6,10,101,1,Exceeded my expectations.
319,6,196,101,1,Exceeded my expectations.
320,6,143,101,5,Would not buy again.
321,896,310,102,3,Exceeded my expectations.
322,896,250,102,3,Exactly what I was looking for!
323,1481,52,103,3,Absolutely loved it!
324,1481,96,103,2,Absolutely loved it!
325,1481,161,103,5,Exactly what I was looking for!
326,1481,246,103,2,Exceeded my expectations.
327,151,68,104,1,"It was okay, nothing special."
328,151,71,104,2,Absolutely loved it!
329,151,4,104,2,Exactly what I was looking for!
330,151,203,104,3,"It was okay, nothing special."
331,1278,328,105,4,Exceeded my expectations.
332,1278,236,105,2,Exceeded my expectations.
333,1468,132,106,2,"It was okay, nothing special."
334,1468,147,106,4,Absolutely loved it!
335,1468,200,106,1,"It was okay, nothing special."
336,1223,497,107,5,Exceeded my expectations.
337,1223,443,107,4,Absolutely loved it!
338,1395,178,108,5,Exceeded my expectations.
339,116,299,109,3,"It was okay, nothing special."
340,116,327,109,1,Great quality for the price.
341,116,284,109,3,Exactly what I was looking for!
342,116,281,109,4,Would not buy again.
343,13,354,110,5,"It was okay, nothing special."
344,13,445,110,1,Would not buy again.
345,970,12,111,1,Would not buy again.
346,970,143,111,4,Exactly what I was looking for!
347,658,354,112,1,Exactly what I was looking for!
348,658,110,112,2,Absolutely loved it!
349,658,112,112,3,Absolutely loved it!
350,658,374,112,3,Exceeded my expectations.
351,658,172,112,3,"It was okay, nothing special."
352,271,216,113,1,"It was okay, nothing special."
353,271,413,113,1,Exceeded my expectations.
354,271,305,113,3,Great quality for the price.
355,271,249,113,3,Would not buy again.
356,30,68,114,4,Exactly what I was looking for!
357,30,479,114,2,Would not buy again.
358,895,424,115,2,Would not buy again.
359,895,270,115,2,Absolutely loved it!
360,1070,240,116,1,"It was okay, nothing special."
361,1070,408,116,3,Great quality for the price.
362,1070,104,116,2,"It was okay, nothing special."
363,661,166,117,2,"It was okay, nothing special."
364,661,3,117,3,"It was okay, nothing special."
365,661,150,117,4,Would not buy again.
366,661,442,117,4,Exceeded my expectations.
367,1869,11,118,1,Would not buy again.
368,1869,330,118,4,Great quality for the price.
369,1869,16,118,1,"It was okay, nothing special."
370,1869,422,118,3,"It was okay, nothing special."
371,554,154,119,3,Exactly what I was looking for!
372,554,300,119,1,Would not buy again.
373,554,415,119,5,Absolutely loved it!
374,554,431,119,5,Would not buy again.
375,943,370,120,2,Would not buy again.
376,943,448,120,4,"It was okay, nothing special."
377,943,498,120,5,Great quality for the price.
378,943,236,120,1,Exactly what I was looking for!
379,943,207,120,4,Great quality for the price.
380,1026,478,121,2,Would not buy again.
381,1811,447,122,3,Great quality for the price.
382,1811,322,122,1,Exceeded my expectations.
383,1811,277,122,1,Exceeded my expectations.
384,1247,106,123,4,Great quality for the price.
385,1247,56,123,5,"It was okay, nothing special."
386,1247,414,123,1,Absolutely loved it!
387,1247,391,123,3,Exactly what I was looking for!
388,97,115,124,3,Great quality for the price.
389,97,472,124,2,Exceeded my expectations.
390,392,52,125,4,Would not buy again.
391,392,184,125,3,Great quality for the price.
392,753,386,126,1,Absolutely loved it!
393,1194,183,127,1,Would not buy again.
394,1194,119,127,3,"It was okay, nothing special."
395,1194,246,127,1,Absolutely loved it!
396,479,472,128,2,"It was okay, nothing special."
397,479,282,128,3,"It was okay, nothing special."
398,479,154,128,2,Great quality for the price.
399,1332,460,129,2,Exceeded my expectations.
400,1332,457,129,5,Great quality for the price.
401,1661,498,130,5,Great quality for the price.
402,1661,372,130,4,"It was okay, nothing special."
403,848,69,131,4,Great quality for the price.
404,848,284,131,5,Great quality for the price.
405,624,436,132,3,Absolutely loved it!
406,624,197,132,4,Exactly what I was looking for!
407,624,464,132,3,Exceeded my expectations.
408,539,33,133,1,Absolutely loved it!
409,539,274,133,1,Exactly what I was looking for!
410,539,142,133,2,Absolutely loved it!
411,1427,299,134,5,Exactly what I was looking for!
412,123,118,135,1,Exceeded my expectations.
413,123,281,135,1,Exceeded my expectations.
414,123,390,135,1,Absolutely loved it!
415,1657,28,136,1,Exactly what I was looking for!
416,1657,168,136,5,"It was okay, nothing special."
417,655,73,137,5,Would not buy again.
418,655,341,137,1,Exceeded my expectations.
419,655,436,137,3,Great quality for the price.
420,655,329,137,2,Great quality for the price.
421,655,172,137,2,"It was okay, nothing special."
422,11,487,138,5,"It was okay, nothing special."
423,11,327,138,4,Great quality for the price.
424,11,197,138,2,Would not buy again.
425,11,81,138,3,"It was okay, nothing special."
426,11,243,138,1,"It was okay, nothing special."
427,651,283,139,2,Great quality for the price.
428,651,304,139,4,Absolutely loved it!
429,651,215,139,3,Absolutely loved it!
430,651,257,139,1,Great quality for the price.
431,651,290,139,2,"It was okay, nothing special."
432,1380,255,140,3,Exceeded my expectations.
433,1852,204,141,5,Absolutely loved it!
434,1852,297,141,4,Exceeded my expectations.
435,1852,56,141,3,Exactly what I was looking for!
436,225,345,142,1,"It was okay, nothing special."
437,225,200,142,1,Would not buy again.
438,225,375,142,4,Exceeded my expectations.
439,225,215,142,3,Would not buy again.
440,128,500,143,5,Absolutely loved it!
441,1151,150,144,5,"It was okay, nothing special."
442,1151,80,144,5,"It was okay, nothing special."
443,1114,105,145,1,Absolutely loved it!
444,1067,466,146,4,Absolutely loved it!
445,1067,441,146,1,Exceeded my expectations.
446,777,43,147,3,"It was okay, nothing special."
447,777,281,147,4,Great quality for the price.
448,745,469,148,5,Exactly what I was looking for!
449,745,55,148,4,Exceeded my expectations.
450,745,454,148,5,Exceeded my expectations.
451,745,390,148,1,Exactly what I was looking for!
452,745,151,148,2,Would not buy again.
453,211,249,149,4,Exceeded my expectations.
454,1131,99,150,1,Exceeded my expectations.
455,1131,284,150,5,Absolutely loved it!
456,1131,178,150,4,Would not buy again.
457,1131,330,150,3,Absolutely loved it!
458,1131,251,150,4,"It was okay, nothing special."
459,1864,477,151,5,Great quality for the price.
460,1045,345,152,2,Exactly what I was looking for!
461,1852,304,153,4,Would not buy again.
462,1852,215,153,3,Absolutely loved it!
463,1852,220,153,5,Absolutely loved it!
464,170,30,154,5,Great quality for the price.
465,170,83,154,4,Great quality for the price.
466,170,5,154,3,"It was okay, nothing special."
467,170,393,154,4,Great quality for the price.
468,170,448,154,4,"It was okay, nothing special."
469,1154,318,155,5,"It was okay, nothing special."
470,1154,415,155,5,Great quality for the price.
471,204,464,156,2,Absolutely loved it!
472,204,428,156,3,Exactly what I was looking for!
473,1598,109,157,1,Would not buy again.
474,1598,95,157,4,Absolutely loved it!
475,755,407,158,5,Great quality for the price.
476,755,470,158,5,Would not buy again.
477,755,61,158,3,Exactly what I was looking for!
478,1458,402,159,3,Exactly what I was looking for!
479,504,324,160,5,Exactly what I was looking for!
480,504,80,160,1,Exceeded my expectations.
481,504,467,160,2,Absolutely loved it!
482,504,126,160,5,Great quality for the price.
483,896,53,161,4,Great quality for the price.
484,896,459,161,3,"It was okay, nothing special."
485,896,199,161,1,Great quality for the price.
486,1000,315,162,3,Would not buy again.
487,1000,417,162,1,Absolutely loved it!
488,1000,297,162,3,Absolutely loved it!
489,1000,345,162,5,Absolutely loved it!
490,1197,462,163,2,Exactly what I was looking for!
491,1197,359,163,5,Exactly what I was looking for!
492,1197,150,163,5,Would not buy again.
493,1322,250,164,3,"It was okay, nothing special."
494,1322,442,164,3,"It was okay, nothing special."
495,1322,26,164,1,Would not buy again.
496,1322,109,164,1,Would not buy again.
497,1307,69,165,2,Exactly what I was looking for!
498,1307,134,165,4,Absolutely loved it!
499,1307,448,165,4,"It was okay, nothing special."
500,1307,354,165,2,"It was okay, nothing special."
501,1307,19,165,4,Great quality for the price.
502,438,181,166,1,Exceeded my expectations.
503,438,145,166,4,"It was okay, nothing special."
504,438,405,166,4,Exactly what I was looking for!
505,1057,377,167,2,Absolutely loved it!
506,1057,171,167,5,Great quality for the price.
507,1057,362,167,2,Great quality for the price.
508,1057,84,167,1,Great quality for the price.
509,1057,35,167,4,Great quality for the price.
510,1056,131,168,3,"It was okay, nothing special."
511,1056,484,168,2,Would not buy again.
512,1479,241,169,2,Exactly what I was looking for!
513,1479,376,169,2,Absolutely loved it!
514,1479,75,169,3,"It was okay, nothing special."
515,1479,111,169,1,Exactly what I was looking for!
516,1389,395,170,3,Absolutely loved it!
517,1389,148,170,5,Exactly what I was looking for!
518,1389,365,170,4,Exactly what I was looking for!
519,1389,390,170,4,Exceeded my expectations.
520,234,363,171,2,Absolutely loved it!
521,234,343,171,1,Would not buy again.
522,234,257,171,5,Absolutely loved it!
523,234,419,171,4,Great quality for the price.
524,188,276,172,1,Exceeded my expectations.
525,188,18,172,2,Exactly what I was looking for!
526,188,164,172,4,Exactly what I was looking for!
527,188,489,172,1,Exceeded my expectations.
528,1562,121,173,1,Exceeded my expectations.
529,1562,23,173,3,Great quality for the price.
530,1562,388,173,2,Exceeded my expectations.
531,1562,214,173,1,Exactly what I was looking for!
532,1562,43,173,4,Exceeded my expectations.
533,526,485,174,5,Absolutely loved it!
534,526,317,174,3,Exactly what I was looking for!
535,526,120,174,3,Exactly what I was looking for!
536,526,246,174,3,"It was okay, nothing special."
537,526,111,174,4,Great quality for the price.
538,823,359,175,1,"It was okay, nothing special."
539,823,309,175,4,Absolutely loved it!
540,823,175,175,3,Absolutely loved it!
541,823,430,175,5,Great quality for the price.
542,823,482,175,2,Absolutely loved it!
543,285,270,176,4,Would not buy again.
544,285,305,176,5,Exceeded my expectations.
545,285,321,176,1,Great quality for the price.
546,802,83,177,4,Absolutely loved it!
547,802,454,177,1,Great quality for the price.
548,1438,414,178,2,Great quality for the price.
549,1010,459,179,2,Great quality for the price.
550,1010,288,179,4,Absolutely loved it!
551,1010,111,179,5,Exceeded my expectations.
552,1010,243,179,1,Would not buy again.
553,1329,391,180,5,Absolutely loved it!
554,404,465,181,4,Great quality for the price.
555,404,3,181,1,Exactly what I was looking for!
556,404,347,181,3,Exactly what I was looking for!
557,404,108,181,5,Absolutely loved it!
558,1271,445,182,3,Exceeded my expectations.
559,1271,464,182,5,Great quality for the price.
560,1271,284,182,1,Absolutely loved it!
561,161,473,183,4,"It was okay, nothing special."
562,288,132,184,4,"It was okay, nothing special."
563,288,201,184,2,Exactly what I was looking for!
564,288,11,184,1,"It was okay, nothing special."
565,288,365,184,5,Would not buy again.
566,1647,436,185,5,Exceeded my expectations.
567,1647,188,185,3,Would not buy again.
568,1647,242,185,2,Great quality for the price.
569,1288,454,186,1,Absolutely loved it!
570,1198,261,187,3,Would not buy again.
571,1198,420,187,3,Exactly what I was looking for!
572,234,436,188,2,Great quality for the price.
573,234,4,188,3,Absolutely loved it!
574,234,455,188,1,Exceeded my expectations.
575,1329,321,189,4,"It was okay, nothing special."
576,1329,125,189,3,Would not buy again.
577,1329,31,189,2,Absolutely loved it!
578,1127,431,190,1,"It was okay, nothing special."
579,1127,378,190,4,Exactly what I was looking for!
580,1127,95,190,1,Great quality for the price.
581,1127,243,190,5,Great quality for the price.
582,444,186,191,2,Exactly what I was looking for!
583,444,59,191,4,Exactly what I was looking for!
584,444,387,191,1,Exceeded my expectations.
585,1926,422,192,5,Would not buy again.
586,1926,493,192,2,Exactly what I was looking for!
587,1926,488,192,5,Would not buy again.
588,465,199,193,2,"It was okay, nothing special."
589,465,283,193,3,Exceeded my expectations.
590,465,374,193,4,Exceeded my expectations.
591,344,297,194,2,Would not buy again.
592,344,11,194,5,Exactly what I was looking for!
593,1077,30,195,3,Absolutely loved it!
594,1077,172,195,2,Absolutely loved it!
595,1077,253,195,5,Great quality for the price.
596,1077,49,195,1,Exceeded my expectations.
597,1077,215,195,1,Exceeded my expectations.
598,1942,97,196,5,Exceeded my expectations.
599,1942,241,196,4,Exceeded my expectations.
600,1942,308,196,1,Exactly what I was looking for!
601,1743,36,197,1,Great quality for the price.
602,1743,460,197,2,Exactly what I was looking for!
603,1743,278,197,2,"It was okay, nothing special."
604,798,24,198,3,Absolutely loved it!
605,798,469,198,2,"It was okay, nothing special."
606,798,457,198,5,Would not buy again.
607,798,319,198,3,"It was okay, nothing special."
608,798,362,198,2,Great quality for the price.
609,1076,49,199,5,Absolutely loved it!
610,502,219,200,3,Exceeded my expectations.
611,502,180,200,3,Absolutely loved it!
612,502,326,200,2,"It was okay, nothing special."
613,502,198,200,3,Absolutely loved it!
614,502,384,200,2,Absolutely loved it!
615,1168,401,201,5,Exactly what I was looking for!
616,1168,440,201,4,Great quality for the price.
617,1168,104,201,3,Exceeded my expectations.
618,1168,491,201,5,Exceeded my expectations.
619,1168,148,201,2,Absolutely loved it!
620,1682,451,202,5,Absolutely loved it!
621,1682,108,202,4,Exceeded my expectations.
622,1682,104,202,1,Exactly what I was looking for!
623,1251,9,203,3,Exactly what I was looking for!
624,1251,222,203,1,Great quality for the price.
625,1251,269,203,2,"It was okay, nothing special."
626,1251,1,203,3,Exceeded my expectations.
627,1422,331,204,5,"It was okay, nothing special."
628,1629,154,205,2,"It was okay, nothing special."
629,1548,126,206,2,Great quality for the price.
630,1548,431,206,2,"It was okay, nothing special."
631,1548,413,206,3,Exactly what I was looking for!
632,1548,363,206,1,"It was okay, nothing special."
633,1548,27,206,4,Exactly what I was looking for!
634,1472,245,207,3,Would not buy again.
635,1824,469,208,5,Would not buy again.
636,1824,123,208,3,Would not buy again.
637,1824,130,208,5,Exceeded my expectations.
638,1824,447,208,4,Absolutely loved it!
639,1824,153,208,5,Great quality for the price.
640,569,176,209,2,Exactly what I was looking for!
641,569,443,209,5,Exceeded my expectations.
642,569,19,209,1,Great quality for the price.
643,1229,258,210,3,"It was okay, nothing special."
644,1229,218,210,5,Great quality for the price.
645,1229,299,210,2,"It was okay, nothing special."
646,1230,2,211,5,Exceeded my expectations.
647,1230,349,211,2,Exactly what I was looking for!
648,632,174,212,4,Absolutely loved it!
649,632,53,212,4,Exceeded my expectations.
650,632,183,212,3,Absolutely loved it!
651,632,255,212,4,Great quality for the price.
652,632,73,212,1,Exceeded my expectations.
653,1421,470,213,1,Would not buy again.
654,1553,375,214,1,Would not buy again.
655,322,89,215,4,Exceeded my expectations.
656,681,152,216,4,Exactly what I was looking for!
657,681,185,216,5,Absolutely loved it!
658,681,157,216,5,Great quality for the price.
659,113,329,217,2,Exactly what I was looking for!
660,113,82,217,3,Great quality for the price.
661,113,43,217,5,Exactly what I was looking for!
662,113,196,217,3,Great quality for the price.
663,1638,75,218,5,Exactly what I was looking for!
664,1638,377,218,3,"It was okay, nothing special."
665,1049,15,219,5,Exactly what I was looking for!
666,1049,135,219,3,Exceeded my expectations.
667,1049,43,219,4,Would not buy again.
668,1049,221,219,3,Absolutely loved it!
669,1049,178,219,1,Exceeded my expectations.
